Date,SKU,Category,Sales,Price
2022-01-01,WIDGET-A1,Widgets,150,19.99
2022-01-01,WIDGET-B2,Widgets,80,29.99
2022-01-01,GADGET-X,Gadgets,50,99.99
2022-01-02,WIDGET-A1,Widgets,155,19.99
2022-01-02,WIDGET-B2,Widgets,82,29.99
2022-01-02,GADGET-X,Gadgets,55,99.99
2022-01-03,WIDGET-A1,Widgets,160,19.99
2022-01-03,WIDGET-B2,Widgets,78,29.99
2022-01-03,GADGET-X,Gadgets,52,99.99
2022-01-04,WIDGET-A1,Widgets,145,19.99
2022-01-04,WIDGET-B2,Widgets,85,29.99
2022-01-04,GADGET-X,Gadgets,48,99.99
2022-01-05,WIDGET-A1,Widgets,165,19.99
2022-01-05,WIDGET-B2,Widgets,90,29.99
2022-01-05,GADGET-X,Gadgets,60,99.99
2022-01-06,WIDGET-A1,Widgets,170,19.99
2022-01-06,WIDGET-B2,Widgets,95,29.99
2022-01-06,GADGET-X,Gadgets,65,99.99
2022-01-07,WIDGET-A1,Widgets,200,19.99
2022-01-07,WIDGET-B2,Widgets,110,29.99
2022-01-07,GADGET-X,Gadgets,80,99.99
2022-01-08,WIDGET-A1,Widgets,210,19.99
2022-01-08,WIDGET-B2,Widgets,120,29.99
2022-01-08,GADGET-X,Gadgets,90,99.99